cuisine,Calories,Fat,Carbs,Protein,num_ingredients,luxury_score,Life expectancy at birth (years),Healthy life expectancy at birth (years),UHC: Service coverage index,Obesity_Adult_18plus,cluster,PCA1,PCA2,cluster_str
Croatia,337.0,17.5,29.0,16.5,8.0,0.5,73.7773208618,68.4908065796,80.1518707275,30.6165790558,4,0.7956974917948945,0.4376532066565865,4
Cuba,380.02941176470586,18.434782608695652,27.71014492753623,22.942028985507246,10.565217391304348,0.36231884057971014,71.1259536743,63.4334907532,82.8073806763,21.7609291077,4,-0.21749909780403054,0.41222671530437976,4
Cyprus,308.0,18.5,25.0,12.5,7.5,1.5,81.9127426147,70.7423782349,80.6861724854,22.9365291595,2,2.035759953585594,0.8295830022447463,2
Denmark,293.1666666666667,15.375,33.208333333333336,6.416666666666667,11.541666666666666,1.9583333333333333,82.9009170532,69.7279891968,81.9640808105,13.2785100937,2,2.293770055208709,0.4692483493449133,2
Dominican Republic,432.5,17.25,49.0,21.125,10.875,0.5,73.3210296631,63.5625495911,76.9829483032,29.3400497437,4,-0.5971781847430385,0.8674150925741421,4
Ecuador,226.0,11.0,17.0,13.0,6.5,0.0,70.9506835938,66.0667648315,76.6336975098,27.3785495758,4,1.1374698926442264,-1.173558723849247,4
Egypt,337.89473684210526,19.31578947368421,33.421052631578945,8.842105263157896,17.36842105263158,1.4736842105263157,66.6899871826,59.6742477417,70.2332992554,44.270198822,4,-0.1367388292980405,-0.7547046208456577,4
El Salvador,292.3333333333333,13.5,23.5,20.083333333333332,6.833333333333333,0.25,71.6670379639,62.1960983276,78.0408630371,30.8800296783,4,0.3510778932640634,-0.4855271830841375,4
Ethiopia,306.85714285714283,17.928571428571427,24.214285714285715,12.785714285714286,17.5,0.0,67.8390884399,58.0477867126,35.1427383423,2.82277011871,3,-1.8534507972197567,-2.380970401374768,3
Finland,352.75,16.75,37.35,11.2,13.7,1.3,84.0616378784,68.8416976929,85.6791534424,21.5090694427,2,1.6794419861960719,1.1146997955289812,2
France,450.0914634146341,26.865853658536587,33.48780487804878,18.3109756097561,10.451219512195122,1.8170731707317074,79.0762405396,70.9847793579,84.7905273438,9.6984796524,2,0.8111724439804725,2.106022650169728,2
Georgia,548.3333333333334,29.666666666666668,55.666666666666664,23.333333333333332,4.333333333333333,0.3333333333333333,75.5998077393,59.5941505432,68.2266693115,34.6596298218,1,-1.9114864893082264,1.8462122307796769,1
Germany,333.8310810810811,17.08053691275168,31.51006711409396,13.463087248322148,9.167785234899329,0.8859060402684564,82.8591766357,68.4348602295,87.9626083374,20.4037094116,2,1.6560707278509241,0.9830371539407357,2
Greece,325.8758389261745,19.90268456375839,25.812080536912752,13.312080536912752,10.083892617449665,0.5838926174496645,79.5978469849,67.7871627808,77.1872787476,27.9815006256,2,1.0862546790862813,0.5158240893767929,2
Guatemala,296.4,11.0,43.8,7.2,7.0,0.2,65.645149231,61.0439605713,58.6823692322,26.8102397919,4,-0.4830044144774739,-1.7998971866632816,4
Guinea,396.0,24.0,42.0,11.0,10.0,0.0,59.9466438293,53.3483734131,39.9243392944,9.5341796875,3,-3.075378975575131,-2.0606220806127853,3
