cuisine,num_recipes,avg_total_ingredients,avg_luxury_score,pct_dairy,pct_meat,pct_poultry,pct_seafood,pct_vegetable,pct_fruit,pct_grain,pct_sweetener,pct_fat,pct_spice,pct_herb,pct_nut,pct_legume,pct_baked goods,pct_seasoning,pct_condiment,pct_beverage,pct_dessert,pct_aromatic,pct_pasta,pct_seed,pct_egg,GDP_2010,GDP_2022,GDP_growth,GDP_Class,sub_region,PCA1,PCA2,cluster
Netherlands,43,8.348837209302326,0.813953488372093,0.0,0.1395348837209302,0.0930232558139534,0.0232558139534883,0.1860465116279069,0.1627906976744186,0.1162790697674418,0.4651162790697674,0.6744186046511628,0.5348837209302325,0.0930232558139534,0.0930232558139534,0.0,0.0697674418604651,0.627906976744186,0.0465116279069767,0.6744186046511628,0.0930232558139534,0.2558139534883721,0.0,0.0232558139534883,0.6744186046511628,51305.7338533973,59123.318556487,0.1523725345285562,High Income,Western Europe,0.5629995028773145,-1.4400571353907845,2
New Zealand,17,17.764705882352942,2.176470588235294,0.1176470588235294,0.1176470588235294,0.0,0.0,0.0588235294117647,0.2941176470588235,0.4117647058823529,0.6470588235294118,0.3529411764705882,0.5294117647058824,0.0588235294117647,0.0,0.0,0.0588235294117647,0.4117647058823529,0.1764705882352941,0.5294117647058824,0.0588235294117647,0.2941176470588235,0.0,0.0,0.3529411764705882,33676.7741239925,48216.5095836302,0.4317437117374934,High Income,Australia and New Zealand,2.755415363353627,0.1206754299641709,3
Nicaragua,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1526.56185349171,2325.16737851871,0.5231399718264588,Lower-Middle Income,Central America,-2.00618964678984,-0.4977567855589141,1
Nigeria,4,5.75,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.5,0.0,0.0,0.0,2202.25672957344,2139.37478476974,-0.0285534124878709,Lower-Middle Income,Western Africa,-1.4950156653531976,-0.6149874665601011,1
Norway,21,10.476190476190476,2.095238095238096,0.4761904761904761,0.1904761904761904,0.0,0.0,0.3809523809523809,0.0476190476190476,0.0,0.4761904761904761,0.4761904761904761,0.3809523809523809,0.0,0.0476190476190476,0.0,0.0476190476190476,0.7142857142857143,0.0,0.2857142857142857,0.0476190476190476,0.0952380952380952,0.0,0.0952380952380952,0.4285714285714285,88163.2085931423,108798.451165901,0.2340573001146851,High Income,Northern Europe,3.1496550106334182,-2.3625088413979145,2
Pakistan,28,22.642857142857142,1.0714285714285714,0.2857142857142857,0.2857142857142857,0.25,0.0,0.5714285714285714,0.2142857142857142,0.1785714285714285,0.1071428571428571,0.75,0.9642857142857144,0.25,0.0714285714285714,0.0714285714285714,0.0,0.8214285714285714,0.0714285714285714,0.5357142857142857,0.0,0.8571428571428571,0.0,0.0,0.0714285714285714,987.304571124485,1538.3228133171,0.5581036068384003,Lower-Middle Income,Southern Asia,1.1561415253542968,2.069981926643509,3
"Palestine, State of",1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Unknown,Western Asia,0.0166224859029274,-1.1285833489058987,2
Panama,2,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,8331.46421351868,17332.4360742988,1.0803589417302053,High Income,Central America,-0.9801714115858038,0.5167301302138282,1
Paraguay,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4750.96273669322,6205.62595379319,0.3061828302430444,Upper-Middle Income,South America,-1.8734768271057167,-0.6798701200813635,1
Peru,40,12.5,0.3,0.025,0.1,0.3,0.025,0.475,0.35,0.225,0.15,0.6,0.475,0.125,0.0,0.0,0.025,0.625,0.35,0.325,0.025,0.525,0.0,0.0,0.125,5072.11494019615,7363.27206939639,0.451716326663456,Upper-Middle Income,South America,-0.5601725997771152,0.6279167501474103,1
Philippines,24,7.958333333333333,0.5833333333333334,0.0416666666666666,0.4166666666666667,0.1666666666666666,0.2083333333333333,0.4166666666666667,0.2083333333333333,0.25,0.3333333333333333,0.6666666666666666,0.4583333333333333,0.1666666666666666,0.0,0.125,0.0833333333333333,0.625,0.2083333333333333,0.5416666666666666,0.0,0.625,0.0,0.0,0.0416666666666666,2162.91375885614,3548.06930572116,0.6404118246478593,Lower-Middle Income,South-Eastern Asia,-0.7549576469916663,0.2848514997131404,1
Poland,23,11.695652173913045,1.0,0.3478260869565217,0.391304347826087,0.0434782608695652,0.0,0.391304347826087,0.0869565217391304,0.0,0.217391304347826,0.6086956521739131,0.3478260869565217,0.1304347826086956,0.0,0.0434782608695652,0.1304347826086956,0.6086956521739131,0.1304347826086956,0.391304347826087,0.0,0.6086956521739131,0.0,0.0869565217391304,0.2608695652173913,12567.7317676382,18891.2121169279,0.5031520775747782,High Income,Eastern Europe,0.3374024459876683,0.2258013708764036,1
Portugal,57,10.263157894736842,0.6842105263157895,0.0526315789473684,0.3333333333333333,0.1052631578947368,0.1228070175438596,0.5263157894736842,0.1403508771929824,0.1403508771929824,0.2456140350877192,0.631578947368421,0.3157894736842105,0.2280701754385964,0.0,0.1052631578947368,0.0350877192982456,0.631578947368421,0.0526315789473684,0.7017543859649122,0.0526315789473684,0.5614035087719298,0.0175438596491228,0.0,0.2280701754385964,22551.935098809,24620.519556875,0.0917253640985887,High Income,Southern Europe,-0.1048142782622626,-0.4692884993373897,1
